fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:37:02;La Reina;casa;Helsby/valenzuelapuelma C_423612;16500;CLF;4 dormitorios;4 baños;170 m² útiles;4 dormitorios | 4 baños | 170 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:02;La Reina;casa;Colegio Andree C_423539;20000;CLF;4 dormitorios;4 baños;248 m² útiles;4 dormitorios | 4 baños | 248 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:02;La Reina;casa;Ossandon/simón González C_422685;13900;CLF;3 dormitorios;3 baños;180 m² útiles;3 dormitorios | 3 baños | 180 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:02;La Reina;casa;Fco. De  Villagra/bramante C_423370;6500;CLF;3 dormitorios;3 baños;91 m² útiles;3 dormitorios | 3 baños | 91 m² útiles;Francisco De Villagra, La Reina;
2025-11-29 17:37:19;La Reina;casa;Ossandon/p. De Gales C_423601;14990;CLF;4 dormitorios;3 baños;180 m² útiles;4 dormitorios | 3 baños | 180 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Condominio / Colegio Andree C_423351;14500;CLF;5 dormitorios;3 baños;160 m² útiles;5 dormitorios | 3 baños | 160 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Colegio Sek C_421905;11250;CLF;4 dormitorios;4 baños;140 m² útiles;4 dormitorios | 4 baños | 140 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Condominio/colegio Andree C_423598;14980;CLF;4 dormitorios;3 baños;206 m² útiles;4 dormitorios | 3 baños | 206 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Larrain/tobalaba/blestgana C_423621;5750;CLF;2 dormitorios;2 baños;73 m² útiles;2 dormitorios | 2 baños | 73 m² útiles;Blest Gana, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta En La Reina Alta;25690;CLF;4 dormitorios;3 baños;258 m² útiles;4 dormitorios | 3 baños | 258 m² útiles;Escultora Rebeca Matte, La Reina Alta, La Reina;
